id,audio_filepath,reference_transcript,speaklar_prediction,titu-large_prediction,titu-fast_prediction,indic-ctc_prediction,indic-rnnt_prediction
05c282fc42,data/asr_bengali_1000_wav/05c282fc42.wav,বাহির করার সঙ্গে,বাহির করার সঙ্গে,বাহির করার সঙ্গে,হ ও বাই এর করার আর সঙ্গে গে, বাহির করার সঙ্গে, বাহির করার সঙ্গে
05c2e8f013,data/asr_bengali_1000_wav/05c2e8f013.wav,এরশাদ মোটরসাইকেলে করে,এরশাদ মোটরসাইকেলে করে,এরশাদ মোটরসাইকেলে করে,এর সাত মোটর সাইকেলে করে, এরসদ মোটর সাইকেলে করে, এর স্বাদ মোটর সাইকেলে করে
05c49359c5,data/asr_bengali_1000_wav/05c49359c5.wav,এবার অনলাইনে,এবার অনলাইনে,এবার অনলাইনে,না এ আর অনলাইইনে, এবার অনলাইনে, এবার অনলাইনে
05c4c436ca,data/asr_bengali_1000_wav/05c4c436ca.wav,অনেক রান হওয়ার,অনেক রান হওয়ার,অনেক রান হওয়ার,না হ না ও অন এ রান আর হ আর হ হ, অনেক রান হওয়ার, অনেক রান হওয়ার
05c4c7683c,data/asr_bengali_1000_wav/05c4c7683c.wav,নিজের শরীর,নিজের শরীর,নিজের শরীর,হ কি নি যে শরীর কি, নিজের শরীর, নিজের শরীর
05c58a9f24,data/asr_bengali_1000_wav/05c58a9f24.wav,যাতে আলোচক এবং দর্শকদের,যাতে আলোচক এবং দর্শকদের,যাতে আলোচক এবং দর্শকদের,যাতে আলো চোখ এবং দর্শকদের, যাতে আলোচক এবং দর্শকদের, যাতে আলোচক এবং দর্শকদের
05c5e4427b,data/asr_bengali_1000_wav/05c5e4427b.wav,ওই আগুন লেগেছে বলে,ওই আগুন লেগেছে বলে,ওই আগুন লেগেছে বলে,হ এক না ওই আ গুন লেগে আছে বলে, ওই আগুন লেগেছে বলে, ওই আগুন লেগেছে বলে
05c7788846,data/asr_bengali_1000_wav/05c7788846.wav,মর্মবেদনা লক্ষ্য করা যায়,মর্মবেদনা লক্ষ করা যায়,মর্মবেদনা লক্ষ করা যায়,মর্ম বেদনা লক্ষ্য করা যায়, মর্ম বেদনা লক্ষ্য করা যায়, মর্ম বেদনা লক্ষ্য করা যায়
05c7af129a,data/asr_bengali_1000_wav/05c7af129a.wav,গ্রহণ করেছে,গ্রহণ করেছে,গ্রহণ করেছে,গ্রহণ করেছে, গ্রহণ করেছে, গ্রহণ করেছে
05c7d919fe,data/asr_bengali_1000_wav/05c7d919fe.wav,বোমা হামলায় অন্তত,বোমা হামলায় অন্তত,বোমা হামলায় অন্তত,না হ আ না না আর বুম মা হ ম লা অন তো তো, বোমা হামলায় অন্তত, বোমা হামলায় অন্তত
05c8aa7bd9,data/asr_bengali_1000_wav/05c8aa7bd9.wav,উভয়ের কাছ থেকে,উভয়ের কাছ থেকে,উভয়ের কাছ থেকে,উভয়য়ের কাছ থেকে, উভয়ের কাছ থেকে, উভয়ের কাছ থেকে
05c97a6f9a,data/asr_bengali_1000_wav/05c97a6f9a.wav,পূর্ণব্রহ্ম নারায়ণই,পূর্ণ ব্রহ্ম নারায়ণেই,পূর্ণ ব্রহ্মনারায়ণীই,পুরূর্ণ ন ব্রম ম আর আই আর নেই, পূর্ণ ব্রহ্ম নারায়ণেই, পূর্ণ ব্রহ্ম নারায়ণেই
05ca47c812,data/asr_bengali_1000_wav/05ca47c812.wav,পাইগোসেলিস গণের,পাইগোসেলিস গণের,পাইগোসেলিস গণের,না না আর পা গো সেললেজ গ আর হ, পাইগোসলিস গনেরের, পাইগোসেলিসগোনের
05cab25583,data/asr_bengali_1000_wav/05cab25583.wav,নেওয়া যাবে না বলা সত্ত্বেও,নেওয়া যাবে না বলা সত্ত্বেও,নেওয়া যাবে না বলা সত্ত্বেও,নেওয়া যাবে না বলা সত্ত্বেও, নেওয়া যাবে না বলা সত্ত্বেও, নেওয়া যাবে না বলা সত্ত্বেও
05cacd6ff5,data/asr_bengali_1000_wav/05cacd6ff5.wav,মিয়ামিতে এক ব্যক্তিকে,মিয়ামিতে এক ব্যক্তিকে,মিয়ামিতে এক ব্যক্তিকে,না না ম আমি তে এক ব্যাগ কি কে, মিয়ামিতে এক ব্যক্তিকে, মিয়ামিতে এক ব্যক্তিকে
05cd1c91fa,data/asr_bengali_1000_wav/05cd1c91fa.wav,অনেকেই তাকে,অনেকেই তাকে,অনেকেই তাকে,না আছে না ও না কি কি তা কে, অনেকেই তাকে, অনেকেই তাকে
05ce6e489b,data/asr_bengali_1000_wav/05ce6e489b.wav,বিড়বিড় ঘড়ঘড়,বিড়বিড় ঘরঘর,বিড়বিড় ঘরঘর,বিীর বিীর ঘর ঘর, বীর বীর ঘর ঘর, বীর বীর ঘর ঘর
05cecd8047,data/asr_bengali_1000_wav/05cecd8047.wav,এরপর দেশের বিভিন্ন জায়গায়,এরপর দেশের বিভিন্ন জায়গায়,এরপর দেশের বিভিন্ন জায়গায়,এরপর দেশের বিভিন্ন জায়গায়, এরপর দেশের বিভিন্ন জায়গায়, এরপর দেশের বিভিন্ন জায়গায়
05cf127b7e,data/asr_bengali_1000_wav/05cf127b7e.wav,পুরুষের পরিচয়,পুরুষের পরিচয়,পুরুষের পরিচয়,পুর সেই পরিচয় হয়, পুরুষের পরিচয়, পুরুষের পরিচয়
05cf22646b,data/asr_bengali_1000_wav/05cf22646b.wav,ছয় জনের কাউকেই,ছয়জনের কাউকেই,ছয় জনের কাউকে,ছয় জনের কাউ কি, ছয় জনের কাউ কি, ছয় জনের কাউকে
05cf6c7fec,data/asr_bengali_1000_wav/05cf6c7fec.wav,তাত্ত্বিক ব্যাখ্যার সমর্থন,তাত্ত্বিক ব্যাখ্যার সমর্থন,তাত্ত্বিক ব্যাখ্যার সমর্থন,তাাত্ত্বিক ব্যাখার সমর্থন, তাত্ত্বিক ব্যাখ্যার সমর্থন, তাত্ত্বিক ব্যাখ্যার সমর্থন
05cf9e50fe,data/asr_bengali_1000_wav/05cf9e50fe.wav,অং সান ১৯৩৩ সালে,অং সাং এক হাজার নয় শো তেত্রিশ সালে,অং সাং এক হাজার নয় শো তেত্রিশ সালে,অম শং উনিশ শো তেত্রিশ সালে, অং সাাং উনিশশো তেত্রিশ সালে, অংশাং উনিশশো তেত্রিশ সালে
05d03b5704,data/asr_bengali_1000_wav/05d03b5704.wav,যখন বাসুদেব,যখন বাসুদেব,যখন বাসুদেব,হ ও জ হ বা সু দেব, যখন বাসুদেব, যখন বাসুদেব
05d222e840,data/asr_bengali_1000_wav/05d222e840.wav,ঘটনাস্থল পরিদর্শন,ঘটনাস্থল পরিদর্শন,ঘটনাস্থল পরিদর্শন,বট না স্থল পরিি দুন, ঘটনাস্থল পরিদর্শন, ঘটনাস্থল পরিদর্শন
05d2997947,data/asr_bengali_1000_wav/05d2997947.wav,একটি ময়লার স্তূপে,একটি ময়লার স্তূপে,একটি ময়লার স্তূপে,একটি ময়লার্তুপে, একটি মোয়ালার স্তুপে, একটি মোয়ালা স্তুপে
05d33bf3dd,data/asr_bengali_1000_wav/05d33bf3dd.wav,সম্পর্ক এড়িয়ে চলাই ভালো,সম্পর্কে এড়িয়ে চলাই ভালো,সম্পর্কে এড়িয়ে চলাই ভালো,সম্প পকে এড়িয়ে চলাই এই ভালো, সম্পর্কে এড়িয়া চলাই ভাল, সম্পর্কে এড়িয়া চলাই ভাল
05d3e79e7b,data/asr_bengali_1000_wav/05d3e79e7b.wav,একটি চেয়ারে,একটি চেয়ারে,একটি চেয়ারে,না আছে না এক একটি কি চেয়ে আর এ হ, একটি চেহারে, একটি চেহারে
05d3ef8419,data/asr_bengali_1000_wav/05d3ef8419.wav,চূড়ান্ত সিদ্ধান্তের অপেক্ষায়,চূড়ান্ত সিদ্ধান্তের অপেক্ষায়,চূড়ান্ত সিদ্ধান্তের অপেক্ষায়ই,হ হ আছে না আর চু আ তো ও সেই সে ধান ত আর অ প এক খা হ ই, চূড়ান্ত সিদ্ধান্তের অপেক্ষায়, চূড়ান্ত সিদ্ধান্তের অপেক্ষায়
05d46a89c3,data/asr_bengali_1000_wav/05d46a89c3.wav,শুধু মুক্তিপণের দাবি আসবে,শুধু মুক্তিপণের দাবি আসবে,শুধু মুক্তিপণের দাবি আসবে,শুধু মুক্তি পণের দাবি আসবে, শুধু মুক্তিপণের দাবি আসবে, শুধু মুক্তিপণের দাবি আসবে
05d4c258eb,data/asr_bengali_1000_wav/05d4c258eb.wav,ঘর করে থাকে,ঘর করে থাকে,ঘর করে থাকে,না না আছে না ও ঘ আর করে থাক কে হ না আছে না, ঘর করে থাকে, ঘর করে থাকে
05d500e9d7,data/asr_bengali_1000_wav/05d500e9d7.wav,কত পরস্পরবিরোধী,কত পরস্পরবিরোধী,কত পরস্পরবিরোধী,কত পরস্পর বিরোধী, কত পরস্পর বিরোধী, কত পরস্পর বিরোধী
05d52534ad,data/asr_bengali_1000_wav/05d52534ad.wav,পাইকারী চাল ব্যবসায়ীরা,পাইকারি চাল ব্যবসায়ীরা,পাইকারি চাল ব্যবসায়ীরা,না হ হ প কারি আর চাল ব্যবসপ শ আই এই না, পাইকারি চাল ব্যবসায়ীরা, পাইকারি চাল ব্যবসায়ীরা
05d56dc418,data/asr_bengali_1000_wav/05d56dc418.wav,রিজার্ভ কমে গেলেই,রিজার্ভ কমে গেলেই,রিজার্ভ কমে গেলেই,রিজার্ভ কমে গেলেই, রেসার্ভ কমে গেলেই, রিসার্ভ কমে গেলেই
05d6677a40,data/asr_bengali_1000_wav/05d6677a40.wav,তিনজনের অবস্থা গুরুতর,তিনজনের অবস্থা গুরুতর,তিনজনের অবস্থা গুরুতর,তিন জনের অবস্থা গুরুত্বর, তিনজনের অবস্থা গুরুত, তিন জনের অবস্থা গুরুতর
05d6eb3531,data/asr_bengali_1000_wav/05d6eb3531.wav,ওডেসা নগরীর পতাকা ওড়ায়,ওডেসা নগরীর পতাকা ওড়াই,ওডেসা নগরীর পতাকা ওড়ায়,ওর এ স নগরীর পতাকা ও আই, ওড়িশ্যা নগরীর পতাকা ওড়াই, ওড়িশা নগরীর পতাকা ওড়াই
05d7b6c9ed,data/asr_bengali_1000_wav/05d7b6c9ed.wav,সোমবার টুর্নামেন্টের,সোমবার টুর্নামেন্টের,সোমবার টুর্নামেন্টের,হ সোম বার আর টু না মন টেন, সোমবার টুর্নামেন্টের, সোমবার টুর্নামেন্টের
05d7e39f04,data/asr_bengali_1000_wav/05d7e39f04.wav,একটা মাঠে আসিলাম,একটা মাঠে আসিলাম,একটা মাঠে আসিলাম,একটা মা ছে আসি নামাম, একটা মাঠে আসিলাম, একটা মাঠে আসিলাম
05db9ae35d,data/asr_bengali_1000_wav/05db9ae35d.wav,পবিত্র কাবা শরিফের,পবিত্র কাবা শরীফের,পবিত্র কাবা শরীফের,না না না না পবি তোো কা বা শরি বের আর, পবিত্র কাবা শরিবের, পবিত্র কাবা শরিবের
05dca179f3,data/asr_bengali_1000_wav/05dca179f3.wav,একটি বিশেষ মহলকে,একটি বিশেষ মহলকে,একটি বিশেষ মহলকে,একটি একটি বি শেষ মহ হল কে, একটি বিশেষ মহল কে, একটি বিশেষ মহল কে
05de0b4c8f,data/asr_bengali_1000_wav/05de0b4c8f.wav,তাঁহাকে এতটা দুঃখ দিলাম,তাঁহাকে এতটা দুঃখ দিলাম,তাহাকে এতটা দুঃখ দিলাম,তা হ কে এতটা দুঃখ দিলাম, তাহাকে এতটা দুঃখ দিলাম, তাহাকে এতটা দুঃখ দিলাম
05dfca87e5,data/asr_bengali_1000_wav/05dfca87e5.wav,ফেটানো ডিম দিয়ে,ফেটানো ডিম দিয়ে,ফেটানো ডিম দিয়ে,না হ না আছে না হঁ এটা এটা না ডিম দিয়ে হ হ, ফেটানো ডিম দিয়ে, ফেটানো ডিম দিয়ে
05e00aba6e,data/asr_bengali_1000_wav/05e00aba6e.wav,আজকের পত্রিকা,আজকের পত্রিকা,আজকের পত্রিকা,আজকের পর টিকা, আজকের পত্রিকা, আজকের পত্রিকা
05e04c574e,data/asr_bengali_1000_wav/05e04c574e.wav,ঘরের দরজায় দাঁড়িয়ে,ঘরের দরজায় দাঁড়িয়ে,ঘরের দরজায় দাঁড়িয়ে,ঘরের দর যায় দাঁড়িয়ে, ঘরের দরজায় দাঁড়িয়ে, ঘরের দরজায় দাঁড়িয়ে
05e05de65a,data/asr_bengali_1000_wav/05e05de65a.wav,তাঁদের সহায়তা করতে,তাদের সহায়তা করতে,তাদের সহায়তা করতে,তাদের সহায়তা করতে, তাদের সহায়তা করতে, তাদের সহায়তা করতে
05e05ec0f4,data/asr_bengali_1000_wav/05e05ec0f4.wav,ফুচকা,ফুসকা,ফুসকা,না হ ফু কাজ, ফুস্কা, ফুস্কা
05e43e27d1,data/asr_bengali_1000_wav/05e43e27d1.wav,অতিষ্ঠ হয়ে উঠে জনজীবন,অতিষ্ঠ হয়ে ওঠে জনজীবন,অতিষ্ঠ হয়ে ওঠে জনজীবন,অতিষ্ঠ হয়ে ওঠে য জীবন, অতিষ্ঠ হয়ে ওঠে জনজীবন, অতিষ্ঠ হয়ে ওঠে জনজীবন
05e479ea25,data/asr_bengali_1000_wav/05e479ea25.wav,প্রথম ২০১১ সালে,প্রথম দুই হাজার এগারো সালের,প্রথম দুই হাজার এগারো সালের,প্রথম দুই হাজার একুশ সালে, প্রথম দুই হাজার এগারো সালে, প্রথম দুই হাজার এগারো সালে
05e5e8d27e,data/asr_bengali_1000_wav/05e5e8d27e.wav,মুক্ত করতেই হবে,মুক্ত করতেই হবে,মুক্ত করতেই হবে,না মুখ তো করতে এই হবে, মুক্ত করতেই হবে, মুক্ত করতেই হবে
05e5fbd5d7,data/asr_bengali_1000_wav/05e5fbd5d7.wav,তারা এ শিল্পকে নিয়ে,তারা এ শিল্পকে নিয়ে,তারা এ শিল্পকে নিয়ে,তারা এই শিল পে কে নিয়ে, তারা এই শিল্পকে নিয়ে, তারা এই শিল্পকে নিয়ে
05e660c245,data/asr_bengali_1000_wav/05e660c245.wav,আনন্দ ভ্রমন করতে,আনন্দ ভ্রমণ করতে,আনন্দ ভ্রমণ করতে,আর অন দ্য ব্র্রম করতে ত, আনন্দ ভ্রমণ করতে, আনন্দ ভ্রমণ করতে
05e7c8eacf,data/asr_bengali_1000_wav/05e7c8eacf.wav,টিউব মেহেদি পাওয়া যায়,টিউব মেহেদি পাওয়া যায়,টিউব মেহেদি পাওয়া যায়,টিউ ও মেহে দি তো পা যায়, টিউব মেহেদি পাওয়া যায়, টিউব মেহেদি পাওয়া যায়
05e9341ed2,data/asr_bengali_1000_wav/05e9341ed2.wav,সুতি কাবাব খাশির রেজালা,সুতি কাবাব খাসির রেজালা,সুতি কাবাব খাসের রেজালা,সুতি কাব বা খাসির রেজা না হয়, সুতি কাবাব খাসির রেজালা, সুতি কাবাব খাসির রেজালা
05ea3f7f46,data/asr_bengali_1000_wav/05ea3f7f46.wav,এই ফ্রন্টকে,এই ফ্রন্টকে,এই ফ্রন্টকে,কে এই ফ্রন্ট কে, এই ফ্রোন্ট কে, এই ফ্রোন্ট কে
05ea6bb66f,data/asr_bengali_1000_wav/05ea6bb66f.wav,আমরা গেয়ে বাজিয়ে,আমরা গেঁয়ে বাজিয়ে,আমরা গেঁয়ে বাজিয়ে,নাা আছে না আমরা গে বা যে, আমরা গেয়ে বাজিয়ে, আমরা গেয়ে বাজিয়ে
05ea7b9f8a,data/asr_bengali_1000_wav/05ea7b9f8a.wav,যারা ক্রিকেটেই জীবন গড়তে চান,যারা ক্রিকেটেই জীবন গড়তে চান,যারা ক্রিকেটেই জীবন গড়তে চান,যারা ক্রিকেটে এই জীবন গড়তে চান, যারা ক্রিকেটেই জীবন গড়তে চান, যারা ক্রিকেটেই জীবন গড়তে চান
05ead14620,data/asr_bengali_1000_wav/05ead14620.wav,ঢাকায় এসে পৌঁছান,ঢাকায় এসে পৌঁছান,ঢাকায় এসে পৌঁছান,ঢ আই এসে পৌঁছান, ঢাকায় এসে পৌছান, ঢাকায় এসে পৌছান
05eb2aa4ab,data/asr_bengali_1000_wav/05eb2aa4ab.wav,কালো তালিকায় ফেলাইতে চান নাকি,কালো তালিকায় ফেলাইতে চান নাকি,কালো তালিকায় ফেলাইতে চান নাকি,কালো তালিকায় ফেলায়তে চান নাক কি, কালো তালিকায় ফেলাইতে চান নাকি, কালো তালিকায় ফেলাইতে চান নাকি
05ec597543,data/asr_bengali_1000_wav/05ec597543.wav,গত বছর ৪৭ হাজার কোটি টাকা,গত বছর সাতচল্লিশ হাজার কোটি টাকা,গত বছর সাতচল্লিশ হাজার কোটি টাকা,গত বছর সাতচল্লিশ হাজার কোটি টাকা, গত বছর সাতচল্লিশ হাজার কোটি টাকা, গত বছর সাতচল্লিশ হাজার কোটি টাকা
05ed6e996b,data/asr_bengali_1000_wav/05ed6e996b.wav,ভাবে বাবা গো,ভাবে ভবাবো,ভাবে বাবাবো,না না মাবে বা বাব, ভাবে বাবা গো, ভাবে বাবা গো
05ee0ca264,data/asr_bengali_1000_wav/05ee0ca264.wav,অসাধারণ গুণ এই ছিল,অসাধারণ গুণ এই ছিল,অসাধারণ গুণ এই ছিল,না ওা দর অন গুণ এই ছিল, অসাধারণ গুণ এই ছিল, অসাধারণ গুণ এই ছিল
05ef5334c9,data/asr_bengali_1000_wav/05ef5334c9.wav,ব্রাদার্স ইউনিয়ন,ব্রাদার্স ইউনিয়ন,ব্রাদার্স ইউনিয়ন,ব্র্লাাদ দার জ ইউনিয়ন, ব্রাদার্স ইউনিয়ন, ব্রাদার্স ইউনিয়ন
05efb3a7c9,data/asr_bengali_1000_wav/05efb3a7c9.wav,দশটি কারখানার ওপর দেওয়া,দশটি কারখানার ওপর দেওয়া,দশ টি কারখানার ওপর দেওয়া,দশটি কারখানার উপপর দেওয়া, দশটি কারখানার উপর দেওয়া, দশটি কারখানার উপর দেওয়া
05efc959c4,data/asr_bengali_1000_wav/05efc959c4.wav,পূর্বে প্রতি বছর,পূর্বে প্রতি বছর,পূর্বে প্রতি বছর,পূর বে প্রতি বছর, পূর্বে প্রতি বছর, পূর্বে প্রতি বছর
05efce7ba2,data/asr_bengali_1000_wav/05efce7ba2.wav,সেখানে পৌঁছে,সেখানে পৌঁছে,সেখানে পৌঁছে,সে খ না পৌঁছে, সেখানে পৌঁছে, সেখানে পৌঁছে
05f0a23565,data/asr_bengali_1000_wav/05f0a23565.wav,সময়সংকটে দীর্ণ স্বদেশ,সময়সংকটে দীর্ণ স্বদেশ,সময়সংকটে দীর্ণ স্বদেশ,আর সময় ম এই শ কো এ ড দি দিন ন স দেশ সে, সময় সংকটে দীর্ণ স্বদেশ, সময় সংকটে দীর্ণ স্বদেশ
05f17f3454,data/asr_bengali_1000_wav/05f17f3454.wav,সবুজ তরুর পাশে,সবুজ তরুর পাশে,সবুজতরুর পাশে,শো বুুজ তোোর ওুর পাশে, সবুজ তরুর পাশে, সবুজ তরুর পাশে
05f3bdb5f6,data/asr_bengali_1000_wav/05f3bdb5f6.wav,শেষ তিন মাসের মধ্যে,শেষ তিন মাসের মধ্যে,শেষ তিন মাসের মধ্যে,হ্যাঁ করি শেষ তিন মাসের মধ্যে, হ্যাঁ এ শেষ তিন মাসের মধ্যে, হ্যাঁ এটা বল শেষ তিন মাসের মধ্যে
05f4392c5e,data/asr_bengali_1000_wav/05f4392c5e.wav,পূরণ হয়েছে,পূরণ হয়েছে,পূরণ হয়েছে,না না আছে না পুর ও হয়ে আছে হ হ আছে আর, পূরণ হয়েছে, পূরণ হয়েছে
05f45990a8,data/asr_bengali_1000_wav/05f45990a8.wav,ভুল সম্পর্কের দিকে,ভুল সম্পর্কের দেকে,ভুল সম্পর্কের দিকে,ভুল সম্পর্কে দেখে, ভুল সম্পর্কে দেখে, ভুল সম্পর্কে দেখে
05f6ae838a,data/asr_bengali_1000_wav/05f6ae838a.wav,একইসঙ্গে ধানমন্ডিতে,একই সঙ্গে ধানমন্ডিতে,একই সঙ্গে ধানমন্ডিতে,একই সঙ্গে ধান মনন্ড দিতে ত, একই সঙ্গে ধানমন্ডিতে, একই সঙ্গে ধানমণ্ডিতে
05f6ff61d9,data/asr_bengali_1000_wav/05f6ff61d9.wav,২০১০ কমনওয়েলথ গেমসের,দুই হাজার দশ কমনওয়েলথ গেমসের,দুই হাজার দশ কমনওয়েলথ গেমসে,দুই হাজার দশ কমনওয়েলথ গেমসে, দুহাজার দশ কমনওয়েলথ গেমস এ, দুহাজার দশ কমনওয়েলথ গেমস এ
05f9d74468,data/asr_bengali_1000_wav/05f9d74468.wav,আলাদা ইতিহাসের বোধ,আলাদা ইতিহাসের বোট,আলাদা ইতিহাসের বোট,আরলাদা এটি টি মাসের পড, আলাদা ইতিহাসের পোট, আলাদা ইতিহাসের পট
05f9e42c04,data/asr_bengali_1000_wav/05f9e42c04.wav,ধরা পড়েছিল,ধরা পড়েছিল,ধরা পড়েছিল,ফ আর পরে ছিল, খারাপ পড়েছিল, খারাপ পড়েছিল
05fa38ccfc,data/asr_bengali_1000_wav/05fa38ccfc.wav,নিজের ভারেই,নিজের ভারেই,নিজের ভারেই,না হ আর কি নি যে এর বা এই, নিজের ভাারেই, নিজের ভাড়েই
05fdb2c6cd,data/asr_bengali_1000_wav/05fdb2c6cd.wav,বর্গমূল কে বলা হয়,বর্গমূল কে বলা হয়,বর্গমূলকে বলা হয়,বর্গ মূল কে বলা হয়, বর্গমূল কে বলা হয়, বর্গমূল কে বলা হয়
05fdf0f793,data/asr_bengali_1000_wav/05fdf0f793.wav,সরকারের বক্তব্য ছিল,সরকারের বক্তব্য ছিল,সরকারের বক্তব্য ছিল,না সরকার কার এর বক্ত তোব্য ছিল, সরকারের বক্তব্য ছিল, সরকারের বক্তব্য ছিল
05fff12ce1,data/asr_bengali_1000_wav/05fff12ce1.wav,নাটকের দল তীরন্দাজ,নাটকের দল তীরন্দাজ,নাটকের দল তীরন্দাজ,না না আর না টোক এর দল ত অনন দ্য আছে, নাটকের দল তীরন্দাজ, নাটকের দল তীরন্দাজ
0a0035c57b,data/asr_bengali_1000_wav/0a0035c57b.wav,বেশি কইরা পিঁপড়া খা,বেশি কইরা পিঁপড়া খা,বেশি কইরা পিঁপড়া খা,বেশি কইরা পিিপ রাখ খা, বেশি করা পিপ রাখা, বেশি কয়রা পিপ রাখা
0a00a4fe56,data/asr_bengali_1000_wav/0a00a4fe56.wav,বিষয়টি নিয়ে বৃহস্পতিবার,বিষয়টি নিয়ে বৃহস্পতিবার,বিষয়টি নিয়ে বৃহস্পতিবার,বিষয়টি নিয়ে বেশ প্রতি বার, বিষয়টি নিয়ে বৃহস্পতিবার, বিষয়টি নিয়ে বৃহস্পতিবার
0a010c7746,data/asr_bengali_1000_wav/0a010c7746.wav,থানা থেকে গ্রেপ্তারকৃতদের,থানা থেকে গ্রেপ্তারকৃতদের,থানা থেকে গ্রেপ্তারকৃতদের,থানা থেকে গ্রেফতারকৃতদের, থানা থেকে গ্রেপ্তারকৃতদের, থানা থেকে গ্রেপ্তারকৃতদের
0a01806b9c,data/asr_bengali_1000_wav/0a01806b9c.wav,বিয়ে করেন একটি মেয়েকে,বিয়ে করেন একটি মেয়েকে,বিয়ে করেন একটি মেয়েকে,না না বিয়ে করেন একটি মেয়ে কে, বিয়ে করেন একটি মেয়েকে, বিয়ে করেন একটি মেয়েকে
0a0229b7b7,data/asr_bengali_1000_wav/0a0229b7b7.wav,বাংলাদেশে খোলাখুলি কথা বলাটা,বাংলাদেশে খোলাখুলি কথা বলাটা,বাংলাদেশে খোলাখুলি কথা বলাটা,বাংলাদেশে খোলাখুলি কথা বলাটা, বাংলাদেশে খোলাখুলি কথা বলাটা, বাংলাদেশে খোলাখুলি কথা বলাটা
0a035616f7,data/asr_bengali_1000_wav/0a035616f7.wav,কাজ নিয়ে আরো,কাজ নিয়ে আরও,কাজ নিয়ে আরো,না না আছে না না আছে আছে না না কাজ আজ নিয়ে এ আর ও না আছে আর, কাজ নিয়ে আরো, কাজ নিয়ে আরও
0a0422f828,data/asr_bengali_1000_wav/0a0422f828.wav,বোমা ফেলতে শুরু করলো।,বোমা ফেলতে শুরু করল,বোমা ফেলতে শুরু করল,বোমা ফেলতে শুরু করল, বোমা ফেলতে শুরু করল, বোমা ফেলতে শুরু করল
0a04890036,data/asr_bengali_1000_wav/0a04890036.wav,স্বাধীনতার ইতিহাসের,স্বাধীনতার ইতিহাসের,স্বাধীনতার ইতিহাসের,স্বাধীনতার ইতিহাসের, স্বাধীনতার ইতিহাসের, স্বাধীনতার ইতিহাসের
0a048b8ea0,data/asr_bengali_1000_wav/0a048b8ea0.wav,মানুষের জীবন যাত্রার উপর ছিল,মানুষের জীবনযাত্রার ওপর ছিল,মানুষের জীবনযাত্রার উপর ছিল,মানুষের সে জীবন যাত্রার উপর ছিল, মানুষের জীবনযাত্রার উপর ছিল, মানুষের জীবনযাত্রার উপর ছিল
0a04bf9c97,data/asr_bengali_1000_wav/0a04bf9c97.wav,অমিত কুমার,অমিত কুমার,অমিত কুমার,হা অ আমি ই কুম আর, অমিত কুমাার, অমিত কুমার
0a04c1007c,data/asr_bengali_1000_wav/0a04c1007c.wav,সেইরূপ আমরা,সেইরূপ আমরা,সেইরূপ আমরা,সেই রূপ আমরা, সেই রূপ আমরা, সেই রূপ আমরা
0a04d1f677,data/asr_bengali_1000_wav/0a04d1f677.wav,স্কুল খোলা,স্কুল খোলা,স্কুল খোলা,কি স্কুল খোলা, স্কুল খোলা, স্কুল খোলা
0a0525148e,data/asr_bengali_1000_wav/0a0525148e.wav,কেন কে জানে,কেন কে জানে,কেন কে জানে,কেন কে জানে, কেন কে জানে, কেন কে জানে
0a0584b940,data/asr_bengali_1000_wav/0a0584b940.wav,ভারপ্রাপ্ত মহাসচিব,ভারপ্রাপ্ত মহাসচিব,ভারপ্রাপ্ত মহাসচিব,হ না ও ভ আর প্রাপ তো মহা শ চ, ভারপ্রাপ্ত মহাসচিব, ভারপ্রাপ্ত মহাসচিব
0a058c67cc,data/asr_bengali_1000_wav/0a058c67cc.wav,স্যাটেলাইট তথ্যের ভিত্তিতে,স্যাটেলাইট তথ্যের ভিত্তিতে,স্যাটেলাইট তথ্যের ভিত্তিতে,স্যাটে লাইট তো তথ্য থের ভ তে, স্যাটেলাইট তথ্যের ভিত্তিতে, স্যাটেলাইট তথ্যের ভিত্তিতে
0a06e96c6f,data/asr_bengali_1000_wav/0a06e96c6f.wav,এতে করে যে বিষয়গুলো,এতে করে যে বিষয়গুলো,এতে করে যে বিষয়গুলো,এতে করে যে বিষয় গুলো, এতে করে যে বিষয়গুলো, এতে করে যে বিষয়গুলো
0a06f686b6,data/asr_bengali_1000_wav/0a06f686b6.wav,ছোট বড় বিভিন্ন ধরনের রিকশা,ছোট বড় বিভিন্ন ধরনের রিকশা,ছোটবড় বিভিন্ন ধরনের রিকশা,ছোট বড় বিভিন্ন ধরনের রিক সাহ, ছোট বড় বিভিন্ন ধরনের রিক্শা, ছোট বড় বিভিন্ন ধরনের রিকশা
0a07094428,data/asr_bengali_1000_wav/0a07094428.wav,তবে প্রার্থী,তবে প্রার্থী,তবে প্রার্থী,তবে প প্রায় আর থ, তবে প্রৰাৰ্থী, তবে প্রার্থী
0a083688ae,data/asr_bengali_1000_wav/0a083688ae.wav,আপন আপন ভূমিকা,আপন আপন ভূমিকা,আপন আপন ভূমিকা,না আপ প না আপন ভূমি কার, আপন আপন ভূমিকা, আপন আপন ভূমিকা
